Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.271473	0.568899	90.598000	83.040000	
0.100000	0.268446	0.485064	90.600000	84.670000	
0.100000	0.266854	0.398284	90.758000	87.510000	
0.100000	0.264027	0.463327	90.772000	85.650000	
0.100000	0.268451	0.395043	90.654000	87.160000	
0.100000	0.260215	0.529483	90.924000	83.610000	
0.100000	0.261838	0.489920	90.974000	84.560000	
0.100000	0.260820	0.383107	90.898000	87.870000	
0.100000	0.260255	0.399940	90.904000	87.240000	
0.100000	0.259150	0.406759	90.862000	86.930000	
0.100000	0.256742	0.517279	91.198000	84.380000	
0.100000	0.254338	0.409529	91.184000	87.140000	
0.100000	0.252506	0.546814	91.070000	83.500000	
0.100000	0.254363	0.485918	91.128000	84.880000	
0.100000	0.245747	0.453648	91.308000	85.790000	
0.100000	0.251109	0.475557	91.302000	85.340000	
0.100000	0.247430	0.452837	91.318000	86.250000	
0.100000	0.244562	0.476092	91.438000	85.410000	
0.100000	0.248643	0.409101	91.146000	87.060000	
0.100000	0.245715	0.438765	91.468000	86.640000	
0.100000	0.241375	0.385713	91.630000	87.980000	
0.100000	0.244151	0.427695	91.456000	86.510000	
0.100000	0.241911	0.409644	91.560000	87.210000	
0.100000	0.240588	0.396808	91.544000	86.960000	
0.100000	0.245573	0.449250	91.338000	85.770000	
0.100000	0.235950	0.489960	91.710000	84.690000	
0.100000	0.240294	0.540690	91.622000	84.110000	
0.100000	0.234507	0.745175	91.892000	79.960000	
0.100000	0.236486	0.406073	91.694000	86.780000	
0.100000	0.233338	0.437532	91.814000	86.210000	
0.100000	0.237906	0.464536	91.606000	86.070000	
0.100000	0.236910	0.396894	91.728000	87.520000	
0.100000	0.232006	0.428147	91.850000	86.370000	
0.100000	0.233829	0.383138	91.800000	87.870000	
0.100000	0.230316	0.402858	92.044000	87.630000	
0.100000	0.234895	0.583464	91.688000	82.090000	
0.100000	0.233199	0.431086	91.926000	86.920000	
0.100000	0.227138	0.443204	92.174000	86.330000	
0.100000	0.228058	0.372399	92.026000	88.030000	
0.100000	0.228103	0.471661	92.122000	85.570000	
0.100000	0.232190	0.425669	91.926000	86.830000	
0.100000	0.226057	0.451461	91.984000	86.750000	
0.100000	0.225798	0.418131	92.058000	86.860000	
0.100000	0.228918	0.442435	91.968000	85.880000	
0.100000	0.225665	0.525456	91.992000	84.940000	
0.100000	0.220119	0.526929	92.464000	84.110000	
0.100000	0.225833	0.428342	92.224000	86.660000	
0.100000	0.222956	0.431459	92.248000	86.880000	
0.100000	0.227135	0.416046	92.010000	87.620000	
0.100000	0.220022	0.486750	92.186000	86.380000	
0.100000	0.221964	0.377170	92.222000	88.220000	
0.100000	0.223126	0.503024	92.198000	85.530000	
0.100000	0.224004	0.453185	92.212000	86.310000	
0.100000	0.222453	0.603138	92.206000	83.220000	
0.100000	0.220595	0.441092	92.230000	86.260000	
0.100000	0.222015	0.432781	92.210000	86.350000	
0.100000	0.218757	0.561885	92.364000	83.840000	
0.100000	0.218865	0.463850	92.392000	85.480000	
0.100000	0.214956	0.422253	92.556000	87.190000	
0.100000	0.218892	0.552101	92.256000	84.020000	
0.100000	0.218765	0.413161	92.306000	87.370000	
0.100000	0.218283	0.404985	92.390000	88.080000	
0.100000	0.220615	0.403889	92.258000	87.420000	
0.100000	0.215262	0.418897	92.498000	86.950000	
0.100000	0.210876	0.402300	92.522000	87.520000	
0.100000	0.216211	0.500544	92.466000	86.060000	
0.100000	0.216186	0.396001	92.322000	87.010000	
0.100000	0.217658	0.383192	92.366000	88.140000	
0.100000	0.215910	0.440057	92.374000	86.850000	
0.100000	0.213502	0.577611	92.550000	84.210000	
0.100000	0.210699	0.367175	92.652000	89.010000	
0.100000	0.216377	0.394525	92.382000	87.760000	
0.100000	0.216415	0.406289	92.416000	87.700000	
0.100000	0.214311	0.452794	92.462000	85.850000	
0.100000	0.209182	0.399047	92.608000	87.760000	
0.100000	0.215150	0.497672	92.428000	84.840000	
0.100000	0.211293	0.486916	92.762000	85.900000	
0.100000	0.210049	0.419520	92.684000	87.680000	
0.100000	0.213042	0.468414	92.572000	85.770000	
0.100000	0.209053	0.502309	92.720000	85.130000	
0.100000	0.213797	0.383834	92.542000	87.850000	
0.100000	0.210237	0.382442	92.662000	87.840000	
0.100000	0.210814	0.383011	92.594000	87.860000	
0.100000	0.207638	0.385257	92.760000	87.620000	
0.100000	0.209817	0.395451	92.598000	87.740000	
0.100000	0.212811	0.403663	92.588000	87.260000	
0.100000	0.204190	0.490668	92.858000	85.680000	
0.100000	0.215408	0.457818	92.510000	85.920000	
0.100000	0.214940	0.515605	92.448000	85.180000	
0.100000	0.206696	0.429498	92.766000	87.500000	
0.100000	0.207607	0.436544	92.700000	87.240000	
0.100000	0.209322	0.398630	92.614000	87.660000	
0.100000	0.206145	0.531521	92.844000	84.740000	
0.100000	0.214352	0.410438	92.526000	86.820000	
0.100000	0.211587	0.420268	92.560000	87.160000	
0.100000	0.208544	0.394613	92.624000	87.690000	
0.100000	0.203123	0.393567	92.830000	87.660000	
0.100000	0.209637	0.391130	92.560000	87.990000	
0.100000	0.205892	0.433355	92.698000	86.790000	
0.100000	0.205979	0.369103	92.832000	88.300000	
0.100000	0.210065	0.417034	92.610000	87.660000	
0.100000	0.204948	0.426866	92.780000	86.970000	
0.100000	0.206766	0.448754	92.662000	86.160000	
0.100000	0.211929	0.416553	92.478000	87.120000	
0.100000	0.208584	0.396832	92.822000	88.470000	
0.100000	0.204050	0.423684	92.806000	87.370000	
0.100000	0.207220	0.412282	92.736000	87.400000	
0.100000	0.206454	0.391266	92.834000	87.810000	
0.100000	0.205279	0.435080	92.886000	86.770000	
0.010000	0.126342	0.263948	95.770000	91.740000	
0.010000	0.099499	0.268695	96.770000	91.610000	
0.010000	0.086614	0.263884	97.118000	91.980000	
0.010000	0.081668	0.269910	97.344000	91.970000	
0.010000	0.076466	0.266741	97.484000	92.070000	
0.010000	0.070749	0.269457	97.634000	92.240000	
0.010000	0.068945	0.275255	97.706000	92.130000	
0.010000	0.062857	0.272578	97.980000	92.060000	
0.010000	0.063191	0.275568	97.884000	92.140000	
0.010000	0.059532	0.274942	98.026000	92.230000	
0.010000	0.056204	0.280967	98.110000	92.310000	
0.010000	0.053685	0.282305	98.252000	92.210000	
0.010000	0.054082	0.282648	98.216000	92.400000	
0.010000	0.050991	0.288184	98.330000	92.220000	
0.010000	0.050285	0.283578	98.318000	92.240000	
0.010000	0.050367	0.285448	98.272000	92.320000	
0.010000	0.047543	0.284198	98.424000	92.320000	
0.010000	0.046395	0.288811	98.422000	92.170000	
0.010000	0.044368	0.294220	98.552000	92.420000	
0.010000	0.043826	0.293689	98.544000	92.330000	
0.010000	0.043491	0.301232	98.560000	92.380000	
0.010000	0.040094	0.301630	98.708000	92.190000	
0.010000	0.040044	0.301619	98.710000	92.100000	
0.010000	0.040040	0.302409	98.712000	92.040000	
0.010000	0.038240	0.298695	98.804000	92.370000	
0.010000	0.037961	0.301437	98.798000	91.990000	
0.010000	0.037043	0.304006	98.852000	92.120000	
0.010000	0.035422	0.308748	98.848000	92.250000	
0.010000	0.036768	0.302794	98.794000	92.420000	
0.010000	0.035075	0.319461	98.910000	92.080000	
0.010000	0.034759	0.309355	98.856000	92.260000	
0.010000	0.034047	0.314009	98.894000	92.250000	
0.010000	0.032598	0.316540	98.924000	92.230000	
0.010000	0.031285	0.316750	98.998000	92.280000	
0.010000	0.031858	0.322362	99.008000	92.220000	
0.010000	0.031334	0.325742	99.000000	92.070000	
0.010000	0.031120	0.319263	99.020000	92.110000	
0.010000	0.029909	0.320517	99.106000	92.290000	
0.010000	0.030023	0.321622	99.054000	92.060000	
0.010000	0.029561	0.325044	99.054000	92.170000	
0.010000	0.030314	0.320925	99.044000	92.160000	
0.010000	0.030658	0.339439	99.022000	92.210000	
0.010000	0.029126	0.329589	99.104000	92.070000	
0.010000	0.028781	0.331704	99.114000	91.970000	
0.010000	0.028711	0.321834	99.096000	92.030000	
0.010000	0.028664	0.335174	99.052000	92.000000	
0.010000	0.027121	0.341380	99.174000	91.860000	
0.010000	0.026282	0.336375	99.208000	92.140000	
0.010000	0.026088	0.326374	99.206000	91.940000	
0.010000	0.027339	0.332579	99.130000	91.980000	
0.010000	0.026331	0.320062	99.184000	92.280000	
0.010000	0.024878	0.335537	99.244000	92.110000	
0.010000	0.026872	0.329849	99.128000	92.300000	
0.010000	0.025633	0.332502	99.206000	92.250000	
0.010000	0.025546	0.320407	99.184000	92.240000	
0.010000	0.027722	0.331465	99.116000	92.020000	
0.010000	0.025115	0.334814	99.270000	92.270000	
0.010000	0.024477	0.341617	99.246000	92.280000	
0.010000	0.025402	0.343760	99.196000	92.070000	
0.010000	0.025165	0.356443	99.220000	91.760000	
0.010000	0.025187	0.343608	99.218000	92.000000	
0.010000	0.026711	0.346469	99.124000	91.900000	
0.010000	0.025019	0.342177	99.202000	92.050000	
0.010000	0.024899	0.357501	99.228000	91.660000	
0.010000	0.024982	0.365570	99.230000	91.650000	
0.010000	0.025132	0.342335	99.216000	91.660000	
0.010000	0.023325	0.344279	99.242000	91.990000	
0.010000	0.025394	0.338479	99.180000	92.080000	
0.010000	0.022245	0.344161	99.356000	92.020000	
0.010000	0.023004	0.350573	99.284000	92.010000	
0.010000	0.025220	0.355335	99.160000	91.850000	
0.010000	0.024423	0.345288	99.220000	91.870000	
0.010000	0.024484	0.349061	99.216000	91.910000	
0.010000	0.022878	0.345519	99.268000	92.000000	
0.010000	0.023206	0.349931	99.276000	91.990000	
0.010000	0.023294	0.359926	99.270000	91.880000	
0.010000	0.022869	0.358351	99.274000	91.550000	
0.010000	0.024629	0.348076	99.226000	91.750000	
0.010000	0.022399	0.351341	99.298000	91.990000	
0.010000	0.023857	0.366286	99.192000	91.930000	
0.010000	0.022776	0.347828	99.278000	91.850000	
0.010000	0.022025	0.358222	99.300000	91.840000	
0.010000	0.022442	0.348539	99.328000	91.960000	
0.010000	0.022922	0.359747	99.266000	91.650000	
0.010000	0.022467	0.349867	99.294000	91.820000	
0.010000	0.021206	0.353456	99.378000	91.740000	
0.010000	0.023121	0.345426	99.264000	91.950000	
0.010000	0.022006	0.345844	99.312000	91.920000	
0.010000	0.022413	0.355114	99.284000	91.770000	
0.010000	0.021774	0.360037	99.340000	91.980000	
0.010000	0.022414	0.375381	99.286000	91.370000	
0.010000	0.021714	0.354325	99.326000	92.000000	
0.010000	0.023215	0.361871	99.252000	91.740000	
0.010000	0.021510	0.363406	99.338000	91.830000	
0.010000	0.022848	0.353443	99.244000	92.070000	
0.010000	0.023583	0.369209	99.260000	91.590000	
0.010000	0.022214	0.365593	99.298000	91.740000	
0.010000	0.024354	0.359226	99.190000	91.750000	
0.010000	0.021585	0.351602	99.342000	91.920000	
0.010000	0.023261	0.359360	99.254000	91.840000	
0.001000	0.018537	0.345668	99.426000	92.130000	
0.001000	0.015929	0.339423	99.556000	92.260000	
0.001000	0.015346	0.340054	99.604000	92.270000	
0.001000	0.013304	0.341210	99.674000	92.280000	
0.001000	0.013814	0.341504	99.640000	92.230000	
0.001000	0.013645	0.338458	99.638000	92.240000	
0.001000	0.012645	0.336166	99.694000	92.360000	
0.001000	0.012785	0.336958	99.680000	92.240000	
0.001000	0.012702	0.339682	99.676000	92.290000	
0.001000	0.011415	0.338395	99.712000	92.420000	
0.001000	0.012044	0.339066	99.710000	92.340000	
0.001000	0.012216	0.339139	99.696000	92.300000	
0.001000	0.012391	0.338230	99.652000	92.260000	
0.001000	0.011886	0.338452	99.698000	92.380000	
0.001000	0.011798	0.340962	99.718000	92.410000	
0.001000	0.011389	0.339031	99.748000	92.480000	
0.001000	0.011004	0.341805	99.736000	92.370000	
0.001000	0.010703	0.338584	99.762000	92.320000	
0.001000	0.011327	0.338804	99.752000	92.360000	
0.001000	0.011166	0.338416	99.730000	92.440000	
0.001000	0.011292	0.340816	99.722000	92.320000	
0.001000	0.010489	0.341738	99.756000	92.310000	
0.001000	0.009941	0.340770	99.784000	92.420000	
0.001000	0.011209	0.342155	99.746000	92.490000	
0.001000	0.010711	0.347870	99.730000	92.350000	
0.001000	0.010329	0.342581	99.758000	92.430000	
0.001000	0.010371	0.340883	99.740000	92.410000	
0.001000	0.010582	0.340820	99.758000	92.420000	
0.001000	0.010577	0.342864	99.716000	92.430000	
0.001000	0.010543	0.340027	99.766000	92.390000	
0.001000	0.010702	0.348427	99.736000	92.310000	
0.001000	0.010442	0.341956	99.746000	92.430000	
0.001000	0.010140	0.345326	99.776000	92.490000	
0.001000	0.010704	0.342836	99.756000	92.330000	
0.001000	0.010067	0.340343	99.762000	92.510000	
0.001000	0.010667	0.341679	99.730000	92.450000	
0.001000	0.009853	0.344253	99.792000	92.400000	
0.001000	0.009975	0.344337	99.778000	92.410000	
0.001000	0.009321	0.342651	99.822000	92.430000	
0.001000	0.009657	0.342346	99.770000	92.340000	
0.001000	0.009968	0.342827	99.780000	92.400000	
0.001000	0.010257	0.346097	99.742000	92.410000	
0.001000	0.009322	0.341859	99.804000	92.420000	
0.001000	0.009857	0.344044	99.780000	92.470000	
0.001000	0.009419	0.345879	99.802000	92.490000	
0.001000	0.009034	0.342540	99.814000	92.420000	
0.001000	0.009499	0.344942	99.768000	92.420000	
0.001000	0.009369	0.345674	99.772000	92.490000	
0.001000	0.009732	0.346289	99.806000	92.340000	
0.001000	0.009426	0.345631	99.788000	92.320000	
0.001000	0.009925	0.344837	99.774000	92.280000	
0.001000	0.009023	0.342718	99.806000	92.380000	
0.001000	0.009693	0.346980	99.772000	92.340000	
0.001000	0.009925	0.345711	99.780000	92.450000	
0.001000	0.010587	0.342187	99.740000	92.430000	
0.001000	0.010127	0.351189	99.742000	92.350000	
0.001000	0.009449	0.344666	99.788000	92.480000	
0.001000	0.009051	0.345176	99.800000	92.430000	
0.001000	0.009382	0.343801	99.796000	92.390000	
0.001000	0.009368	0.345319	99.800000	92.380000	
